City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Netivot,IL,2021-08-13 18:28:40,31.42,34.59,81.9,56,0,7.63,clear sky
233,Sindor,RU,2021-08-13 18:28:41,62.86,51.89,71.92,65,48,10.25,scattered clouds
234,Vestmannaeyjar,IS,2021-08-13 18:28:41,63.44,-20.27,55.74,89,36,6.89,scattered clouds
235,Provideniya,RU,2021-08-13 18:28:41,64.38,-173.3,44.24,79,100,6.46,overcast clouds
236,Kruisfontein,ZA,2021-08-13 18:27:10,-34.0,24.73,46.89,82,14,4.5,light rain
237,Takoradi,GH,2021-08-13 18:28:42,4.88,-1.76,77.29,74,100,10.85,overcast clouds
238,Khandyga,RU,2021-08-13 18:28:42,62.67,135.6,55.13,77,26,2.06,scattered clouds
239,Natal,BR,2021-08-13 18:24:25,-5.8,-35.21,81.25,69,75,17.27,broken clouds
240,Dali,CN,2021-08-13 18:28:42,25.7,100.18,64.85,96,100,4.29,moderate rain
241,Burns Lake,CA,2021-08-13 18:28:42,54.23,-125.75,80.37,34,1,3.96,clear sky
242,Nova Olinda Do Norte,BR,2021-08-13 18:28:43,-3.89,-59.09,95.09,38,94,3.31,light rain
243,Abong Mbang,CM,2021-08-13 18:28:43,3.98,13.18,73.78,68,95,1.34,overcast clouds
244,Rocha,UY,2021-08-13 18:28:43,-34.48,-54.33,57.42,59,0,7.05,clear sky
245,Ibra,OM,2021-08-13 18:28:43,22.69,58.53,92.05,37,100,9.33,overcast clouds
246,Skovorodino,RU,2021-08-13 18:28:44,53.98,123.92,53.6,81,13,0.67,few clouds
247,Ankazoabo,MG,2021-08-13 18:28:44,-22.28,44.52,67.71,50,0,13.89,clear sky
248,Avera,US,2021-08-13 18:28:44,33.19,-82.53,96.91,37,5,1.61,clear sky
249,Yuanping,CN,2021-08-13 18:28:45,38.72,112.76,61.47,90,33,2.59,scattered clouds
250,Olinda,BR,2021-08-13 18:28:45,-8.01,-34.86,76.73,65,40,18.41,scattered clouds
251,West Fargo,US,2021-08-13 18:28:45,46.88,-96.9,76.01,28,1,11.99,clear sky
252,Kahului,US,2021-08-13 18:28:46,20.89,-156.47,78.82,86,40,9.22,scattered clouds
253,Sao Filipe,CV,2021-08-13 18:28:46,14.9,-24.5,77.32,75,65,13.13,broken clouds
254,Dukat,RU,2021-08-13 18:28:46,62.55,155.55,52.21,85,64,2.62,broken clouds
255,Baykit,RU,2021-08-13 18:28:46,61.67,96.37,59.16,98,100,2.04,moderate rain
256,Constitucion,CL,2021-08-13 18:27:25,-35.33,-72.42,56.34,66,6,8.81,clear sky
257,Kodinsk,RU,2021-08-13 18:28:47,58.69,99.18,58.32,90,52,2.04,broken clouds
258,Vagur,FO,2021-08-13 18:28:47,61.47,-6.81,52.9,88,50,13.98,scattered clouds
259,Etchoropo,MX,2021-08-13 18:28:47,26.77,-109.67,91.42,49,30,5.64,scattered clouds
260,Namatanai,PG,2021-08-13 18:28:47,-3.67,152.43,78.21,81,100,5.88,overcast clouds
261,Jacareacanga,BR,2021-08-13 18:28:48,-6.22,-57.75,93.51,52,20,4.61,smoke
262,Soe,ID,2021-08-13 18:28:48,-9.86,124.28,62.35,85,3,5.23,clear sky
263,Bilibino,RU,2021-08-13 18:28:48,68.05,166.44,50.81,87,99,3.71,light rain
264,Bruckmuhl,DE,2021-08-13 18:28:49,47.88,11.92,79.88,88,71,3.76,broken clouds
265,Morwell,AU,2021-08-13 18:28:49,-38.23,146.4,42.67,91,6,2.53,clear sky
266,Hambantota,LK,2021-08-13 18:28:49,6.12,81.12,80.94,83,40,3.44,scattered clouds
267,Itoman,JP,2021-08-13 18:28:49,26.12,127.67,81.37,96,40,14.97,scattered clouds
268,Fortuna Foothills,US,2021-08-13 18:25:47,32.66,-114.41,99.21,42,1,5.01,clear sky
269,San Patricio,US,2021-08-13 18:28:50,28.02,-97.52,97.02,45,21,10.71,few clouds
270,Pershotravneve,UA,2021-08-13 18:28:50,51.39,28.87,63.55,63,2,5.53,clear sky
