City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Tabou,CI,77.27,overcast clouds,4.42,-7.35,hotêl doufoulougou
318,Harper,LR,77.76,overcast clouds,4.38,-7.72,Screensaver
321,Dunda,TZ,69.87,few clouds,-8.12,34.25,
322,Caravelas,BR,76.53,few clouds,-17.71,-39.25,Pousada dos Navegantes
325,Varca,IN,78.8,broken clouds,15.22,73.92,"Taj Exotica Resort & Spa, Goa"
326,Robertsport,LR,78.08,overcast clouds,6.75,-11.37,Kwepunha Retreat
327,Fare,PF,78.69,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
328,Cortez,US,87.42,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
330,Kyabe,TD,73.81,overcast clouds,9.45,18.94,
331,Gopalur,IN,76.93,moderate rain,16.62,77.8,Dhaba- Motel
335,Oswego,US,89.78,broken clouds,43.45,-76.15,S & E Mobile Home Park
337,Amapa,BR,79.9,overcast clouds,1.0,-52.0,
339,San Quintin,MX,79.66,clear sky,30.48,-115.95,Don Eddie's Sport Fishing Center
341,Pochutla,MX,84.81,broken clouds,15.74,-96.47,Hotel Posada San Jose
342,Alcamo,IT,86.2,clear sky,38.0,12.96,Hotel Centrale Spa & Relax
348,Vadinsk,RU,65.35,light rain,53.69,43.06,
349,Kouango,CF,72.16,overcast clouds,4.99,19.96,
353,Matamoros,MX,87.91,few clouds,25.53,-103.25,Recreativo Sabdy Briseidy
354,Quatre Cocos,MU,68.09,few clouds,-20.21,57.76,Sunrise Attitude Hotel
355,Lanzhou,CN,67.28,scattered clouds,36.06,103.79,Lanzhou Amdo Xiangbala Hotel
356,Samarai,PG,76.08,overcast clouds,-10.62,150.67,Nuli Sapi
359,Corinto,GR,88.41,clear sky,37.94,22.96,Ephira Hotel
360,Chinhoyi,ZW,68.27,clear sky,-17.37,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
361,Fort Nelson,CA,78.39,scattered clouds,58.81,-122.7,The Fort Nelson Hotel
363,Hualmay,PE,67.17,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
364,Palu,ID,75.61,overcast clouds,-0.89,119.87,Hotel Santika Palu
367,Ouadda,CF,67.5,scattered clouds,8.08,22.4,
370,Bengkulu,ID,75.76,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
372,Sambava,MG,72.45,few clouds,-14.27,50.17,Melrose
375,Tutoia,BR,85.98,scattered clouds,-2.76,-42.27,Pousada Guará's
377,Great Bend,US,78.85,clear sky,38.36,-98.76,Best Western Angus Inn
379,Miandrivazo,MG,72.59,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
380,Mtambile,TZ,75.65,clear sky,-5.38,39.7,
381,Nilanga,IN,78.24,light rain,18.1,76.77,Shruti nilanga rice and vada pav and tea centre
382,Alofi,NU,66.09,broken clouds,-19.06,-169.92,Taloa Heights
383,Gloucester,GB,68.76,few clouds,51.87,-2.24,Edward Hotel
384,Celendin,PE,72.12,overcast clouds,-6.87,-78.15,Villa Madrid
385,Sisophon,KH,79.07,light rain,13.59,102.97,Pyramid Hotel
387,Yaan,NG,75.42,broken clouds,7.38,8.57,
388,Hurghada,EG,88.59,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
389,Kralendijk,BQ,89.58,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
391,Asau,RO,65.32,broken clouds,46.43,26.4,Casa Mika Ciobanus
394,Novouzensk,RU,81.05,clear sky,50.46,48.14,
395,Gamba,GA,75.38,broken clouds,-2.65,10.0,
398,Maceio,BR,80.04,scattered clouds,-9.67,-35.74,Poutur Pousada
400,Malpe,IN,78.1,moderate rain,13.35,74.72,Hotel Sri Krishna Residency
401,Muscat,OM,87.82,broken clouds,23.61,58.59,Mutrah Hotel
402,Sandila,IN,84.11,overcast clouds,27.08,80.52,"Celebration Lawn, Phase 1, Sandila"
407,Santa Maria,BR,65.5,broken clouds,-29.68,-53.81,Hotel Morotin
408,Praia Da Vitoria,PT,77.25,scattered clouds,38.73,-27.07,Hotel Branco I
409,Kaka,TM,88.07,clear sky,37.35,59.61,
410,Biltine,TD,75.06,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
411,The Valley,AI,87.66,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
412,Holme,DK,65.77,broken clouds,56.11,10.17,Helnan Marselis Hotel
413,San Cristobal,VE,80.78,broken clouds,7.77,-72.22,Pirineos
414,Matara,LK,78.67,overcast clouds,5.95,80.54,Amaloh Boutique Resort
415,Puerto Leguizamo,CO,74.25,overcast clouds,-0.19,-74.78,la casona de juancho
417,Santa Barbara,US,82.44,few clouds,34.73,-120.03,Upper Ballard Campground
418,Chapais,CA,74.98,clear sky,49.78,-74.85,Hôtel Opémiska
419,Vaitape,PF,78.46,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
420,Tianpeng,CN,79.27,overcast clouds,30.99,103.94,Shuangliu Love Home Business Hotel
421,Saint-Augustin,CA,67.57,overcast clouds,51.23,-58.65,
422,Faranah,GN,74.52,moderate rain,10.04,-10.74,Chez mon oncle
423,Tucurui,BR,89.67,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
424,Itarema,BR,84.56,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
425,Kupang,ID,76.14,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
426,Chinchani,IN,80.94,overcast clouds,19.87,72.7,Vasantshrushti Farm
434,Sulangan,PH,81.93,broken clouds,11.14,123.72,Maia's Beach Resort
435,Podgornoye,RU,70.02,clear sky,51.74,39.15,Benefit Plaza
436,Praya,CV,84.74,few clouds,14.92,-23.51,LT Aparthotel
437,Formosa,AR,66.18,clear sky,-26.18,-58.18,SOLEO Alquileres Temporarios
438,Muros,ES,83.14,clear sky,42.78,-9.06,Apartment Av. Castelao
440,San Ramon,US,85.23,clear sky,37.78,-121.98,San Ramon Marriott
442,North Battleford,CA,79.41,clear sky,52.78,-108.28,Tropical Inn
444,Vila Franca Do Campo,PT,77.41,clear sky,37.72,-25.43,Pestana Bahia Praia
445,Spornoye,RU,69.82,overcast clouds,50.84,37.29,
446,Georgetown,MY,78.89,few clouds,5.41,100.34,Cititel Penang
447,Umrala,IN,82.17,overcast clouds,21.83,71.82,Hajrat jivapir dada ni dargah
448,Tshikapa,CD,82.26,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
449,Nizhniy Odes,RU,73.17,broken clouds,63.64,54.86,Gostinitsa Uyut
451,Okrika,NG,79.63,overcast clouds,4.74,7.08,Gateway Hotels
452,Kununurra,AU,75.18,clear sky,-15.77,128.73,Hotel Kununurra
453,Luanda,AO,71.46,scattered clouds,-8.84,13.23,Forum GestHotel
456,Sakaiminato,JP,73.38,light intensity shower rain,35.55,133.23,味処・民宿 まつや
458,Beaufort,MY,78.96,moderate rain,5.35,115.75,The Gem Hotel Beaufort
459,Tiarei,PF,77.02,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
461,Gigmoto,PH,80.82,scattered clouds,13.78,124.39,Cj's Travellers Inn
462,Lixourion,GR,89.46,clear sky,38.2,20.43,Hotel Summery
466,Caxito,AO,73.29,clear sky,-8.58,13.66,
468,Zhuhai,CN,84.06,scattered clouds,22.28,113.57,Nanyang Seascape Hotel Zhuhai Hotel
470,Ambunti,PG,73.4,overcast clouds,-4.24,142.84,Ambunti Lodge
472,Muncar,ID,73.85,scattered clouds,-8.43,114.33,Zaky Homestay
473,Gizo,SB,80.29,light rain,-8.1,156.84,Imagination Island
475,Bluefield,US,88.07,few clouds,37.27,-81.22,Economy Inn
479,Landeck,AT,75.94,broken clouds,47.13,10.56,Hotel Jägerhof
480,Angono,PH,81.72,scattered clouds,14.53,121.17,Villa Jhoana Resort
484,Douglas,US,84.38,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
488,Alexandria,EG,81.39,clear sky,31.22,29.96,Furnish Apartment in Alexandria
489,Tautira,PF,77.02,overcast clouds,-17.73,-149.15,Pension Oaoa
490,Bellavista,PE,89.08,scattered clouds,-7.06,-76.59,Hospedaje Bella Durmiente
491,Misratah,LY,83.95,clear sky,32.38,15.09,فندق الماسة
493,Cabedelo,BR,83.07,broken clouds,-6.98,-34.83,Hotel Pigalle
494,Road Town,VG,87.84,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
495,Ciocile,RO,71.96,few clouds,44.82,27.23,
496,Mapastepec,MX,87.39,broken clouds,15.43,-92.9,Hotel San Carlos
497,Junagarh,IN,82.08,moderate rain,19.87,82.93,Hotel Swagat
498,Ouegoa,NC,65.64,clear sky,-20.35,164.43,
499,Pedernales,DO,88.7,scattered clouds,18.04,-71.74,Hotel Costa Marina
501,Pacific Grove,US,85.8,clear sky,36.62,-121.92,Lovers Point Inn
504,Conceicao Da Barra,BR,76.86,few clouds,-18.59,-39.73,Cricaré Praia Hotel
505,Marzuq,YE,86.47,clear sky,14.4,46.47,
506,Aljezur,PT,79.75,scattered clouds,37.32,-8.8,Amazigh Hostel
508,Jining,CN,68.16,light rain,35.4,116.58,Yunhe Star Hotel
511,Ixtapa,MX,88.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
512,Muroto,JP,79.5,light rain,33.28,134.15,Oota Ryokan
514,Sete,FR,87.84,clear sky,43.4,3.7,Hotel De Paris Sète
515,Khandbari,NP,73.98,overcast clouds,27.37,87.2,Himali Hotel and Lodge
516,Cockburn Town,TC,82.92,overcast clouds,21.46,-71.14,Osprey Beach Hotel
519,Pulivendla,IN,79.43,overcast clouds,14.42,78.23,Kothabalaji
522,Gaoual,GN,77.85,moderate rain,11.75,-13.2,Hotel koliba
523,Ferrol,ES,82.65,clear sky,43.48,-8.24,Parador de Ferrol
524,Puerto Penasco,MX,86.92,broken clouds,31.32,-113.53,Playa Bonita Resort
525,Kismayo,SO,76.32,broken clouds,-0.36,42.55,Agan-Hotel
527,Kimbe,PG,73.08,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
529,Ajmer,IN,82.8,overcast clouds,26.45,74.63,OYO 862 Hotel Embassy
531,Jaque,PA,79.3,light rain,7.52,-78.17,Imbu Bua Lodge
532,Boyolangu,ID,73.51,broken clouds,-8.12,111.89,Yos ega cv
533,Zemlyansk,RU,69.44,overcast clouds,51.9,38.73,
534,Obigarm,TJ,67.91,clear sky,38.72,69.71,Гармоба
537,Iisalmi,FI,68.02,broken clouds,63.56,27.19,Original Sokos Hotel Koljonvirta
539,Coahuayana,MX,85.48,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
544,Kapoeta,SS,73.72,broken clouds,4.77,33.59,Eastgate Hotel
546,Orlovskiy,RU,73.4,overcast clouds,46.87,42.06,ТеТ-А-ТеТ
547,Hobyo,SO,76.64,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
551,Brasileia,BR,82.85,clear sky,-11.02,-68.75,Pousada Tobias
552,Freilassing,DE,80.69,few clouds,47.85,12.98,GENUSSDORF GMACHL - Hotel & Spa
554,Santa Lucia,ES,71.76,few clouds,27.91,-15.54,Las Tirajanas
555,Vanimo,PG,76.59,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
556,Usak,TR,67.87,clear sky,38.5,29.42,
559,Cayenne,GF,79.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
560,Anamur,TR,84.22,clear sky,36.08,32.84,Luna Piena Beach Hotel
561,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.17,Aviador Hotel Boutique
562,Opole,PL,77.58,overcast clouds,50.5,18.0,Hotel ''Zamkowy Młyn''
563,Temerloh,MY,74.95,overcast clouds,3.45,102.42,U Design Hotel Temerloh
564,Wenling,CN,80.62,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
566,Pentecoste,BR,79.68,broken clouds,-3.79,-39.27,Motel Big love
567,Mahuva,IN,80.42,overcast clouds,21.09,71.76,Hotel Blue Diamond.
569,Maiduguri,NG,80.19,light rain,11.85,13.16,Beach Guest Home
571,Biak,ID,75.15,broken clouds,-0.91,122.88,Penginapan Kim
572,Marsa Matruh,EG,79.48,clear sky,31.35,27.25,Beau Site
573,Yangjiang,CN,80.42,overcast clouds,21.85,111.97,HUALUXE Yangjiang City Center
574,Grand Gaube,MU,68.38,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
578,Varzea Da Palma,BR,87.73,clear sky,-17.6,-44.73,Casa Fernandes
579,Boysun,UZ,71.24,clear sky,38.21,67.2,Gaza Hotel
580,Taperoa,BR,87.22,broken clouds,-7.21,-36.83,Pousada Santo Inácio
582,Mana,GF,83.32,few clouds,5.66,-53.78,LE SAMANA
