City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Kaitangata,NZ,2021-08-06 05:24:00,-46.2817,169.8464,52.93,62,31,4.47
225,Marawi,PH,2021-08-06 05:24:00,7.9986,124.2928,85.96,50,99,3.83
226,Port Macquarie,AU,2021-08-06 05:19:37,-31.4333,152.9167,66.16,43,0,7.09
227,San Sebastian De Los Reyes,ES,2021-08-06 05:24:01,40.5443,-3.6159,75.4,53,0,2.3
228,Gribanovskiy,RU,2021-08-06 05:24:02,51.4579,41.9764,74.8,39,75,9.8
229,Ranong,TH,2021-08-06 05:24:02,9.9658,98.6348,80.53,83,95,13.02
230,Bosansko Grahovo,BA,2021-08-06 05:24:03,44.1794,16.3639,63.86,84,25,2.19
231,Raudeberg,NO,2021-08-06 05:24:03,61.9875,5.1352,59.2,79,100,5.28
232,Aykhal,RU,2021-08-06 05:24:04,66.0,111.5,64.04,30,5,22.03
233,Rumoi,JP,2021-08-06 05:24:04,43.9344,141.6428,84.33,65,59,5.28
234,Porto Murtinho,BR,2021-08-06 05:24:05,-21.6989,-57.8825,66.09,30,100,2.39
235,Shubarkuduk,KZ,2021-08-06 05:24:05,49.1447,56.4872,80.89,42,73,11.16
236,Pocinhos,BR,2021-08-06 05:24:06,-7.0767,-36.0611,64.0,92,76,13.6
237,San Rafael,AR,2021-08-06 05:24:06,-34.6177,-68.3301,58.01,33,77,8.99
238,Esso,RU,2021-08-06 05:24:07,55.9333,158.7,45.59,83,99,4.05
239,Kapuskasing,CA,2021-08-06 05:24:07,49.4169,-82.4331,66.29,82,90,9.22
240,Manono,CD,2021-08-06 05:24:08,-7.3,27.4167,72.73,35,39,4.09
241,Derzhavinsk,KZ,2021-08-06 05:24:08,51.1,66.3167,88.34,26,84,14.0
242,Manaure,CO,2021-08-06 05:24:09,11.7751,-72.4445,81.48,75,0,17.13
243,Berlevag,NO,2021-08-06 05:24:09,70.8578,29.0864,58.8,82,0,0.0
244,Chokurdakh,RU,2021-08-06 05:24:10,70.6333,147.9167,45.19,71,99,10.8
245,Tomatlan,MX,2021-08-06 05:24:10,19.9333,-105.25,76.08,94,99,2.01
246,Griffith,US,2021-08-06 05:21:08,41.5284,-87.4237,76.89,70,40,1.99
247,Hasaki,JP,2021-08-06 05:24:11,35.7333,140.8333,97.29,73,12,10.02
248,Three Hills,CA,2021-08-06 05:24:12,51.7001,-113.2686,72.48,59,32,10.36
249,Raymond,US,2021-08-06 05:24:12,43.9015,-70.4703,65.32,95,83,3.04
